trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
110,False,"{'a': 0.9, 'e': 0.721083743026607}",30,0,-137.07832172225736,"{0: 18, 1: 4, 2: 6, 3: 0, 4: 2}",0
111,False,"{'a': 0.9, 'e': 0.7189237334319262}",25,16,10.507785451562501,"{0: 8, 1: 1, 2: 0, 3: 0, 4: 0}",1
112,False,"{'a': 0.9, 'e': 0.716770194155699}",25,0,-170.47428835865023,"{0: 14, 1: 3, 2: 4, 3: 1, 4: 3}",0
113,False,"{'a': 0.9, 'e': 0.7146231058160573}",25,0,-59.67218063889999,"{0: 18, 1: 3, 2: 3, 3: 0, 4: 1}",0
114,False,"{'a': 0.9, 'e': 0.7124824490891918}",20,0,-170.08681106487055,"{0: 11, 1: 1, 2: 4, 3: 1, 4: 3}",1
115,False,"{'a': 0.9, 'e': 0.7103482047091773}",20,0,-55.39592048898976,"{0: 14, 1: 3, 2: 2, 3: 0, 4: 1}",0
116,False,"{'a': 0.9, 'e': 0.7082203534678}",30,0,-24.582936928417816,"{0: 25, 1: 0, 2: 5, 3: 0, 4: 0}",0
117,False,"{'a': 0.9, 'e': 0.7060988762143844}",20,0,-71.94906715647615,"{0: 16, 1: 1, 2: 1, 3: 0, 4: 2}",0
118,False,"{'a': 0.9, 'e': 0.7039837538556208}",20,0,-71.04736739512911,"{0: 12, 1: 2, 2: 5, 3: 1, 4: 0}",0
119,False,"{'a': 0.9, 'e': 0.701874967355394}",25,17,3.518250206734881,"{0: 7, 1: 0, 2: 1, 3: 0, 4: 0}",1
120,False,"{'a': 0.9, 'e': 0.699772497734611}",20,0,-43.359542948616486,"{0: 14, 1: 1, 2: 4, 3: 1, 4: 0}",0
121,False,"{'a': 0.9, 'e': 0.697676326071031}",35,0,-127.0323462300029,"{0: 25, 1: 2, 2: 6, 3: 0, 4: 2}",0
122,False,"{'a': 0.9, 'e': 0.6955864334990951}",25,0,-22.96087076445835,"{0: 20, 1: 1, 2: 4, 3: 0, 4: 0}",0
123,False,"{'a': 0.9, 'e': 0.6935028012097558}",20,0,-14.534442791930854,"{0: 16, 1: 1, 2: 3, 3: 0, 4: 0}",0
124,False,"{'a': 0.9, 'e': 0.6914254104503085}",20,6,-36.16897330059992,"{0: 10, 1: 2, 2: 0, 3: 2, 4: 0}",1
125,False,"{'a': 0.9, 'e': 0.6893542425242224}",25,0,-135.77558919903458,"{0: 18, 1: 2, 2: 1, 3: 1, 4: 3}",0
126,False,"{'a': 0.9, 'e': 0.6872892787909722}",25,0,-49.1220546556947,"{0: 22, 1: 0, 2: 0, 3: 2, 4: 1}",0
127,False,"{'a': 0.9, 'e': 0.6852305006658703}",25,0,-120.98400464520134,"{0: 14, 1: 3, 2: 6, 3: 1, 4: 1}",0
128,False,"{'a': 0.9, 'e': 0.6831778896198997}",20,0,-61.69202704329939,"{0: 14, 1: 2, 2: 3, 3: 0, 4: 1}",0
129,False,"{'a': 0.9, 'e': 0.6811314271795471}",20,0,-39.69153328488771,"{0: 13, 1: 3, 2: 4, 3: 0, 4: 0}",0
